ra dec Kp
18.032375 -0.61596 11.39
12.047008 7.047058 11.39
15.590595 1.989452 11.39
16.748817 -1.990572 11.39
15.278588 5.847997 11.39
18.52861 3.632903 11.39
22.805034 4.969722 11.39
14.797327 0.775831 11.4
17.191846 4.52726 11.4
19.860205 11.974977 11.41
18.250193 9.585467 11.41
19.668436 1.186159 11.42
21.460466 6.057953 11.42
11.236758 6.376797 11.42
11.039041 6.206015 11.42
11.774071 6.198051 11.42
12.659101 -0.361327 11.43
22.922226 4.961777 11.43
18.190886 10.582295 11.43
19.944406 1.984829 11.43
23.025286 6.539281 11.43
14.539024 1.023678 11.43
23.219466 5.771076 11.44
14.798841 2.979758 11.44
20.134214 10.872837 11.44
22.73675 6.523993 11.44
14.625973 7.057278 11.44
21.467619 1.614379 11.44
18.179225 4.321993 11.44
19.111344 7.737483 11.44
14.231369 11.126733 11.45
17.181822 9.538253 11.45
9.621495 8.355131 11.45
13.067626 4.129667 11.45
17.290035 8.341154 11.46
10.246575 7.760475 11.46
18.373743 4.102938 11.47
23.781738 6.706297 11.47
12.495787 10.28949 11.47
11.114839 9.09996 11.47
16.643552 6.249505 11.47
13.549539 9.036523 11.47
13.595346 4.614109 11.47
13.892149 2.527853 11.47
10.681829 4.881407 11.47
16.493304 9.427245 11.47
14.78018 8.957546 11.48
16.168606 5.559784 11.48
19.302562 6.848424 11.48
21.776127 1.121249 11.48
13.862464 2.581149 11.48
13.01712 5.07188 11.49
22.526056 3.488641 11.49
13.416416 3.672092 11.49
10.04172 3.134727 11.49
16.094697 10.848167 11.49
10.730965 4.134719 11.49
22.828726 6.728766 11.49
19.114029 10.75378 11.5
18.29862 3.535703 11.5
12.120146 1.008914 11.5
10.312602 7.809039 11.51
23.14343 2.620089 11.51
11.012478 2.022931 11.51
18.67954 2.701789 11.51
15.897111 11.191903 11.52
17.949037 -1.837904 11.52
10.877117 1.999409 11.52
17.213132 9.055347 11.52
14.205029 11.174202 11.52
13.418 9.762351 11.52
18.313662 4.397686 11.53
18.316883 7.615832 11.53
10.582643 7.799958 11.53
10.911135 7.617874 11.53
18.22792 1.888172 11.53
11.248022 1.281644 11.54
16.163774 5.619683 11.54
19.022188 2.992376 11.54
15.81159 5.781259 11.54
12.716528 -0.376815 11.54
15.577183 11.459587 11.54
18.018331 2.212968 11.54
12.603219 5.322421 11.54
12.608378 3.718556 11.55
14.198766 4.472251 11.55
18.998889 0.881711 11.55
15.973841 5.34182 11.56
12.715727 8.68009 11.56
18.692815 6.743814 11.58
14.212398 4.504344 11.58
11.768536 6.154941 11.58
11.782726 2.978805 11.58
13.842072 -1.234561 11.58
13.197173 3.3677 11.58
16.601975 -0.686677 11.58
18.557171 5.43921 11.58
15.448821 9.480572 11.59
20.829638 10.450178 11.59
23.049509 6.584394 11.59
15.696129 6.892874 11.59
15.439597 5.684923 11.6
19.351885 6.838699 11.6
13.487454 5.613403 11.6
18.307263 8.896129 11.61
19.736471 10.117103 11.61
13.842505 -0.771272 11.61
12.772057 10.915283 11.61
11.757527 2.818724 11.61
18.552323 5.371314 11.61
22.824301 2.976161 11.61
14.961145 2.013053 11.62
19.555083 6.52848 11.62
16.118915 12.052539 11.62
12.259805 5.06792 11.62
15.692197 6.961649 11.62
9.698136 8.520349 11.62
18.222808 9.530317 11.63
17.747548 8.565218 11.63
22.259867 5.666606 11.63
19.575025 10.885917 11.63
10.521191 4.565854 11.63
22.244208 5.56972 11.64
17.497332 -0.13009 11.64
11.422006 9.173629 11.64
15.907652 11.111281 11.64
11.673218 6.574139 11.65
13.414769 7.282789 11.65
14.798857 3.0353 11.65
15.457694 1.999814 11.65
16.054355 4.131549 11.66
14.457272 8.158106 11.66
15.944487 11.849204 11.66
23.260625 2.380797 11.66
15.881006 5.078582 11.66
16.003532 4.422209 11.67
13.515466 9.010352 11.67
19.256484 11.187751 11.67
17.248951 4.551468 11.68
18.744625 10.175462 11.68
17.803998 3.447545 11.68
16.426831 11.709106 11.68
15.326416 12.244334 11.68
15.653738 1.972951 11.69
22.094787 3.368995 11.69
14.031198 9.880842 11.69
16.385957 2.247258 11.69
14.554531 3.741122 11.69
19.512762 -0.281841 11.7
17.423649 -0.151727 11.7
22.259395 7.019264 11.7
16.596094 0.557331 11.7
18.00416 -1.866436 11.7
22.898645 6.348011 11.7
11.252939 4.010442 11.7
15.989212 4.16415 11.7
11.050081 1.670993 11.7
23.410364 6.906813 11.7
15.003252 7.400421 11.71
22.598175 6.843211 11.71
11.295853 1.262061 11.71
14.581406 0.982675 11.71
14.217107 6.891916 11.71
16.592559 1.4739 11.71
12.716148 10.856343 11.71
18.317723 -1.023316 11.72
15.799832 12.463316 11.72
22.824938 2.099389 11.72
17.507318 9.735378 11.72
18.263854 6.057299 11.73
13.036092 9.628831 11.73
16.623813 0.531003 11.73
14.055448 9.830736 11.73
9.501468 4.280248 11.73
10.96768 2.206636 11.74
22.277778 1.697661 11.74
16.059415 2.35184 11.74
12.613783 3.902751 11.74
22.124585 1.538593 11.74
13.733915 10.023424 11.75
20.139274 10.553046 11.75
12.464355 10.256791 11.76
15.013446 1.989509 11.76
20.904799 2.211845 11.76
20.897848 2.659483 11.76
15.051634 7.357317 11.76
16.000164 11.899956 11.76
19.328397 11.670308 11.76
10.243968 5.767472 11.76
14.847537 6.997212 11.76
18.347284 2.766956 11.76
10.366513 4.260805 11.77
13.815335 2.572201 11.77
20.239665 10.977604 11.77
18.300622 7.699577 11.77
