ra dec Kp
184.839102 -3.425839 11.89
187.231014 -2.146859 11.89
189.670524 -10.0582 11.89
186.763276 -9.557992 11.9
188.283923 -1.47002 11.9
181.373377 -3.572493 11.9
181.45412 -6.493936 11.9
184.78889 -3.470507 11.9
180.059759 -5.701603 11.9
182.013041 -2.401343 11.91
184.365597 -1.900952 11.91
189.892584 -10.159228 11.91
186.847978 -4.349309 11.91
189.436706 -9.784294 11.91
184.363867 2.918033 11.92
187.806882 -0.163524 11.92
190.959544 1.784407 11.92
189.140045 -11.054462 11.92
181.593691 -4.946705 11.92
182.407578 -0.060922 11.92
188.846687 -3.161802 11.93
182.41107 -7.953745 11.93
191.266053 1.489487 11.94
183.583571 -1.202315 11.94
181.468434 -0.040944 11.94
179.51159 -5.613187 11.94
181.034336 -6.82052 11.94
187.340238 1.114705 11.94
182.800855 -10.123583 11.94
193.039742 -7.440948 11.94
179.981595 -5.720819 11.95
184.788863 -4.463948 11.95
185.211032 -9.012885 11.95
191.930033 -7.204303 11.95
189.33791 1.204834 11.95
184.132796 -7.660907 11.95
182.751106 -10.114548 11.95
193.101017 -7.348944 11.95
182.99935 -9.800648 11.95
191.85752 -7.597813 11.96
181.191551 -3.744725 11.96
192.701583 -2.434891 11.96
184.54231 -4.118448 11.96
187.55422 -10.369662 11.96
187.028688 -0.497802 11.96
182.398039 -2.303104 11.97
180.55829 -6.742966 11.97
191.131907 1.184745 11.97
187.561359 -4.794997 11.97
180.743293 -2.006169 11.97
189.873565 -4.828219 11.97
180.921665 0.208641 11.97
189.555942 -11.441687 11.97
183.19635 -6.833322 11.98
182.166117 -0.416398 11.98
187.68907 -0.203156 11.98
184.777664 2.949872 11.98
180.407279 -2.83438 11.98
184.353334 1.126962 11.98
184.199044 2.555759 11.98
190.758562 -8.548566 11.98
184.790136 -4.749153 11.98
184.716902 -1.775801 11.98
186.053225 -3.085288 11.98
186.096528 -3.102273 11.98
185.503867 -7.657851 11.98
187.053834 -6.278162 11.99
188.33665 1.969072 11.99
193.622881 -1.785081 11.99
193.71867 -1.794891 11.99
188.374738 1.969069 12.0
180.60888 -6.677912 12.0
